"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-24 07:00:00",95,1016.852,12.69,56.66,2.409,148.4,85.2,12.92,68.94
"2016-06-24 07:30:00",96,1017.395,12.97,50.84,1.536,112.8,56.65,13.4,60.84
"2016-06-24 08:00:00",97,1017.759,13.9,47.95,1.605,148.2,59.29,13.79,58.63
"2016-06-24 08:30:00",98,1017.944,15.03,46.13,1.626,34.18,29.2,14.94,56.84
"2016-06-24 09:00:00",99,1018.022,16.54,39.53,1.391,29.14,57.47,16.13,49.68
"2016-06-24 09:30:00",100,1018.25,16.98,38.05,1.959,155.5,39.48,16.49,47.7
"2016-06-24 10:00:00",101,1018.488,16.84,38.99,3.264,163.3,23.56,16.77,47.58
"2016-06-24 10:30:00",102,1018.697,19,32.51,5.091,233.3,45.07,18.66,37.01
"2016-06-24 11:00:00",103,1018.761,19.14,29.77,5.715,270.8,23,19.15,33.16
"2016-06-24 11:30:00",104,1018.762,19.12,29.66,4.886,237.7,19,19.08,32.86
"2016-06-24 12:00:00",105,1018.547,19.43,28.56,6.368,253.5,17.53,19.63,31.22
"2016-06-24 12:30:00",106,1018.504,20.03,27.08,6.72,250.9,21.51,20.36,29.29
"2016-06-24 13:00:00",107,1018.424,20.17,26.35,8.72,257.8,15.27,20.91,27.98
"2016-06-24 13:30:00",108,1018.416,20.91,24.75,9.05,253.1,19.91,21.62,26.26
"2016-06-24 14:00:00",109,1018.542,20.45,24.08,9.58,271.5,14.01,21.33,25.4
"2016-06-24 14:30:00",110,1018.529,20.74,23.88,9.35,270.2,16.11,21.52,25.27
"2016-06-24 15:00:00",111,1018.337,21.58,22.27,9.33,264.6,15.58,22.41,23.39
"2016-06-24 15:30:00",112,1018.191,21.9,22.16,9.08,265.3,14.91,22.75,23.21
"2016-06-24 16:00:00",113,1018.253,21.35,23.59,9.58,265,14.19,22.24,24.84
"2016-06-24 16:30:00",114,1018.331,21.41,24.36,8.42,255.4,15.67,22.16,25.75
"2016-06-24 17:00:00",115,1018.273,21.17,25.14,8.86,256.8,14.24,21.9,26.69
"2016-06-24 17:30:00",116,1018.19,21.52,25.52,9.33,267.5,15.33,22.3,27.1
"2016-06-24 18:00:00",117,1018.289,20.97,26.88,9.5,255.4,12.52,21.67,28.88
